id_marca,nombre
132,MAX 150
132,NEW WAVE 125
132,EXPLORER 150
132,XY 250
132,JET 50
132,RETRO 50
132,NEW 50
132,EAGLE 50
132,SUPER SMART 50
132,NEW 200
132,CARGO 200
132,BRAVO 200
132,STRONG 250
132,FUTURE 150
132,VENICE 50
132,LIBERTY 50
132,BIKE 50
132,JET 125
132,CUSTOM 250
132,DISCOVER 250
133,CRZ
133,COMET GT 650
133,COMET GT-R 650
133,CRUISE
133,ERO
133,FLASH
133,FURIA
133,GF
133,MAGIK
133,MIDAS
133,MIRAGE
133,MOTOKAR
133,PRIMA
133,RX
133,SETA
133,SOFT
133,SUPER CAB
133,TN
133,WAY
133,WIN
133,COMET GT 250
133,COMET GT-R 250
135,CRYPTON T115
135,DT 200
135,FAZER YS250
135,FACTOR YBR125
135,YZF R1
135,VIRAGO 250
135,AXIS
135,BWS
135,JOG
135,MAJESTY
135,MT-03
135,NEO AT
135,RD 135
135,ROYAL STAR
135,TDM
135,TDR 180
135,TRX
135,TT-R
135,V-MAX 1200
135,WR 250F
135,XJR
135,XT 660R
135,XTZ 125
135,MIDNIGHT STAR XVS
135,YFS
135,RX
135,DRAG STAR
135,XJ6
135,LANDER XTZ 250
135,ALBA
135,FROG
135,LIBERO
135,GLADIATOR
135,MEST
135,ECCY
135,PASSOL
135,EC-02
135,YZ 85LW
135,V-STAR
135,PAS
135,AEROX
135,MORPHOUS
135,XF50X
135,LAGEND
135,TZR
135,QT50
135,FS1
135,FZR1000
135,XS400
135,RD 350 VIUVA NEGRA
135,XTZ 250 TENERE
135,XT 225
135,XT 660Z TENERE
135,XT 1200Z SUPER TENERE
135,FAZER FZ6
135,FAZER YS150
135,FAZER FZ1
135,YZF 600R
135,YZF R6
135,TMAX
135,YFM 700R
135,GRIZZLY
135,RD 50
135,DT 50
135,MT-01
135,FZ-09
135,MT-07
135,FZR600
135,FZR400
135,FZR250
135,XS500
135,XS650
135,XS750
135,XS850
135,XS1100
135,SR500
135,SRX 400
135,SRX 600
135,V-MAX 1680
135,FJR1300
135,XTZ 750 SUPER TENERE
135,XT 600
135,VIRAGO 400
135,VIRAGO 535
135,VIRAGO 750
135,VIRAGO 1400
135,XZ 550
135,YZR 500
135,WR 450F
135,TZ 250
135,YZ 125
135,YZ 250
135,YZ 450
135,TX500
135,XR 180
135,TT 125
136,GR 500
136,GRI 50
136,GR08T4
136,GR 125S/ST
136,GR125T3
136,GR125U
136,GR 125Z
136,GR 150P/PI
136,GR150ST
136,GR150T3
136,GR150TI
136,GR150U
136,GR250T3
140,FUTURE
140,AKROS
140,ERGON
140,FIFTY
140,HUNTER
140,MAX
140,PALIO
140,PGO
140,STX
140,STX MOTARD
140,SUPER FIFTY
140,VBLADE
140,WEB
140,WEB EVO
170,AVAJET
170,CONCOURS
170,D-TRACKER
170,ER-6N
170,KLX 110/140
170,KX 100/125
170,KZ
170,MAXI
170,NINJA 250
170,VERSYS
170,VOYAGER
170,VULCAN
170,ZZR
170,BAIO
170,KDX
170,ELIMINATOR
170,GTR
170,KLE
170,KLR
170,SUPER SHERPA
170,ZRX
170,ZR
170,NINJA 1400
170,NINJA 1000
170,NINJA 600
170,NINJA 300
170,NINJA 1100
170,NINJA 900
170,NINJA 700
170,NINJA 1200
170,Z1000
170,Z750
170,Z800
170,VERSYS CITY
170,VERSYS GRAND TOURER
170,VERSYS TOURER
170,VERSYS 1000
170,KX 450/500
170,KX 250
170,KX 65/85
170,KLX 400/450
170,KLX 250/300
170,ER-5
171,RZR 570
171,RZR 800
171,RZR 800 XC
171,RZR S 800
171,RZR 900
171,RZR XP 1000
171,RZR 4 800
171,RZR 4 900
171,RZR 4 1000
171,RANGER 6X6
171,RANGER 800
171,RANGER DIESEL
171,RANGER XP 900
171,RANGER 400
171,RANGER 570
171,RANGER 800 MIDSIZE
171,RANGER EV
171,RANGER CREW 570
171,RANGER CREW 800
171,RANGER CREW DIESEL
171,RANGER CREW 900
171,SPORTSMAN 550 EPS
171,SPORTSMAN 570
171,SPORTSMAN 400 HO
171,SPORTSMAN WV850 HO
171,SPORTSMAN XP 850
171,SPORTSMAN 800 EFI
171,SPORTSMAN BIG BOSS 6X6 800
171,SCRAMBLER XP 850 HO
171,SCRAMBLER XP 1000 EPS
171,SPORTSMAN TOURING 850
171,SPORTSMAN TOURING 570
171,SPORTSMAN TOURING 550
171,SPORTSMAN X2 550
171,PHOENIX 200
171,RZR 170
171,OUTLAW 90
171,SPORTSMAN 90
171,OUTLAW 50
171,BRUTUS
176,ATV
176,JAGUAR
176,RT
177,AME-110
177,AME-150
177,AME-250
177,AME-LX
178,AREA-51
178,CLASSIC
178,LEONARDO
178,MOTO
178,PEGASO
178,RALLY
178,RS
178,RSV MILLE
178,RX
178,SCARABEO
178,SONIC
178,SR RACING
178,SR WWW
178,SR
179,CALIFFONE
179,MASTER
179,SKEGIA
180,CHAMPION
180,CLASSIC
181,TNT
181,TRE
182,MX-50
183,DB4
183,DB5R
183,DB6
183,DB6R
183,DB7
183,MANTRA
183,SBR8
183,TESI
184,ELEGANT
184,FOSTI
184,PISTA
184,TURBO
184,ZANELLA
185,YB
185,ALPINA
185,APOLO
185,NEVADA
185,WINSTAR
185,ELEKTRA
185,TEXANA
185,ALTINO
185,AQUILA
185,DAYSTAR ROUTIER
186,CAN-AM
187,1125
187,FIREBOLT
187,LIGHTNING
187,ULYSSES
188,JBR
190,CANYON
190,ELEFANT
190,GRAN CANYON
190,MITO
190,NAVIGATOR
190,PLANET
190,ROADSTER
190,V-RAPTOR
190,W-16
191,MOBILETE
192,ALTINO
192,MESSAGE
192,VC
192,VF
192,VS
192,VT
192,VX
193,APACHE
193,CITYCOM
193,KANSAS
193,LASER
193,NEXT
193,RIVA
193,ROADWIN
193,SMART
193,SPEED
193,SUPER
193,ZIG
194,DY100-31
194,DY110-20
194,DY125-18
194,DY125-36A
194,DY125-37
194,DY125-5
194,DY125-52
194,DY150-12
194,DY200
194,DY50
195,SUMMER
195,DY125-8
195,SPACE
195,PHANTON
195,CITY
195,DY150GY
195,CARGO 150
195,CARGO 200
195,DY250-2
196,ATLANTIS
196,GPR
196,PREDATOR
196,RED BULLET
196,REPLICAS
196,SENDA
197,1098
197,1198
197,749
197,848
197,996
197,998
197,999
197,999R
197,DESMOSEDICI
197,DIAVEL
197,HYPERMOTARD
197,MONSTER
197,MULTISTRADA
197,SPORTCLASSIC
197,SS
197,ST-2
197,ST-4
197,STREETFIGHTER
198,MIRAGE
198,ONE
198,ONE RACING
200,FY100-10A
200,FY125-19
200,FY125-20
200,FY125EY-2
200,FY125Y-3
200,FY150-3
200,FY150T-18
200,FY250
201,ENDUCROSS
201,ROOKIE ENDURO
201,BOY
201,MC
201,PAMPERA
201,TX BOY
201,TXT
201,TXT ROOKIE
202,EASY
202,RUNNER
202,SAFARI
202,SPORT
203,HB-110
203,HB-125
203,HB-150
203,HB-50
204,SOFTAIL
204,TOURING ROAD KING
204,TOURING ELECTRA GLIDE
204,DYNA
204,V-ROD
204,SPORTSTER
204,TOURING STREET GLIDE
204,CVO
205,LEGION
206,ANKUR
206,PUCH
206,STREAM
207,FE
208,CR
208,HUSQY
208,SM
208,SMR
208,TC
208,TE
208,WR
208,WRE
209,ACTION
209,BRAVE
209,MATRIX
209,MOVING
209,ONE
209,VINTAGE
209,WARRIOR
209,IZY 50
210,JP
211,BARHOG
211,PROSTREET
211,SPYDER
212,ATLANTIC
212,HYPE
212,JONNY
212,ORBIT
212,PEGASUS
212,QUICK
212,TR
212,NAKED
212,RACER
212,TEXAS
213,TOP
213,DUAL
213,AMAZONAS
214,DJW
214,MBOY
214,PEOPLE
214,ZING
215,AKROS
215,ERGON
215,NIX
216,MOTO TRUCK
217,QUATTOR
218,FORMIGAO
219,DE LUXE
219,E RETRO
219,LY
220,TRICICLO
221,CIAK
221,SPIDER
222,DRAGO
222,EASY
222,FAST
222,SKEMA
222,VITE
223,CALIFORNIA
223,QUOTA
223,V11
223,LE MANS
224,230R
